facilityId,facilityName,facilityCategory,facilityLocation,specialities,phone,email,website,address
0002078,800Doctor Dmcc,Home Healthcare Agency,Jumeira Lakes Towers,"['COVID 19 Vaccine', 'Diet and Nutrition', 'Director', 'General Practice', 'Immunization', 'Laboratory Allied Healthcare', 'Nursing', 'Pediatric', 'Physiotherapy And Rehabilitation', 'Psychology']",800362867,preethi@advethealth.com,www.800doctor.com,"2104,             
							
							HDS BUSINESS CENTRE,
							Cluster M ,
							140,
							DXB,
							Dubai"
8750797,Camali Clinic Child and Adult Mental Health FZ-LLC (DMCC Branch),PolyClinic (3 specs or more),Jumeira Lakes Towers,"['Child and Adolescent Psychiatry', 'Diet and Nutrition', 'Neurology', 'Nursing', 'Occupational Medicine', 'Pediatric', 'Psychiatry', 'Psychology', 'Speech Therapy']",97142766064,mohammad.nadeem@camaliclinic.com,http://www.camaliclinic.com,"401,             
							
							DMCC Free Zone - HDS Business Center, Plot No: JLT-PH1-M1A, Dubai Jumeirah Lakes Towers,,
							Cluster M,
							140,
							DXB,
							DXB"
0001619,Clearminds Center For Emotional Health,Clinical Support (1 Spec),Jumeira Lakes Towers,"['Director', 'Psychology']",052-633-7673,info@clearmindscenter.com,,"Office 2904,             
							
							Hds Business Center,
							1st Alkhail Road,
							140,
							DXB,
							Dubai"
0102806,Connect Psychology DMCC,Clinical Support (2 Specs),Jumeira Lakes Towers,"['Psychology', 'Speech Therapy']",0501236170,hey@connectpsychology.ae,,"1009,             
							
							Fortune Executive Towers,
							Cluster T,
							140,
							,"
0000302,Dm Healthcare Llc Dmcc Branch,PolyClinic (3 specs or more),Jumeira Lakes Towers,"['Dermatology', 'Endocrinology', 'Endodontics', 'General Dental', 'General Practice', 'Immunization', 'Implantology', 'Internal Medicine', 'Laser Hair Removal', 'Nursing', 'Obstetrics And Gynecology', 'Oral and Maxillofacial Surgery', 'Orthodontics', 'Orthopedic Surgery', 'Otolaryngology', 'Pediatric', 'Pediatric Dentistry', 'Physiotherapy And Rehabilitation', 'Prosthodontics', 'Psychiatry', 'Radiology', 'Radiology Allied Healthcare', 'Speech Therapy', 'Urology']",971-55-7009111,pr@asterdmhealthcare.com,,"G 005,             
												
								 G 06  G011,             
												
								            G 004         ,             
							
							Red Diamond Building,
							Al Sarayat Street,
							140,
							DXB,
							Dubai"
9801092,DR OLA WELLNESS HUB DMCC,Clinical Support (1 Spec),Jumeira Lakes Towers,['Psychology'],+971586837652,info@wellnesshub.ae,www.wellnesshub.ae,"1205,             
							
							JBC 4,
							Cluster N,
							140,
							,"
5540173,EMERALD AVENUE MEDICAL CLINIC L L C,PolyClinic (3 specs or more),Dubai Marina and Jumeira Beach,"['Cardiology', 'Dental Allied Healthcare', 'Dental Radiology', 'Dermatology', 'Endocrinology', 'ENT Allied Healthcare', 'Family Medicine', 'General Dental', 'General Practice', 'General Surgery', 'Medical Allied Healthcare', 'Medical Oncology', 'Neurology', 'Nursing', 'Obstetrics And Gynecology', 'Oral Surgery', 'Orthopedic Surgery', 'Otolaryngology', 'Pediatric', 'Plastic Surgery', 'Prosthodontics', 'Psychiatry', 'Rheumatology', 'Urology']",585448788,director@emeraldavenuem.com,www.emeraldavenue.com,"Ground Floor G-20 First Floor Office 1,             
							
							Al Fattan Business Hub,
							King Salman bin Abdulaziz Al Saud Street 310,
							139,
							,"
0001658,Emirates Hospitals And Clinics Llc Branch,PolyClinic (3 specs or more),Dubai Marina and Jumeira Beach,"['Cardiology', 'Clinical Immunology and Allergy', 'Dermatology', 'Director', 'Endocrinology', 'Family Medicine', 'Gastroenterology', 'General Practice', 'General Surgery', 'Immunization', 'Internal Medicine', 'Medical Allied Healthcare', 'Neurology', 'Nursing', 'Obstetrics And Gynecology', 'Orthopedic Surgery', 'Pediatric', 'Pediatric Endocrinology', 'Physiotherapy And Rehabilitation', 'Psychiatry', 'Reproductive Medicine and Infertility', 'Respiratory Medicine', 'Rheumatology', 'Urology', 'Vascular Surgery']",971-52-4405140,fahad.pervez@emirateshospital.ae,www.emirateshospital.ae,"Offices No 2001 - 2002 Floor 20Th,             
							
							برج الحبتور للأعمال,
							Al Seyahi Street,
							139,
							DXB,
							Dubai"
8739437,German Neuroscience Center FZ-LLC_JLT,PolyClinic (3 specs or more),Jumeira Lakes Towers,"['Neurology', 'Nursing', 'Psychiatry', 'Psychology']",971505839183,dha@gnc-dubai.com,http://www.gncdubai.com,"unit 2804,             
							
							Plot: JLT-PH1-12, Unit 2801,2804,2805,2806,1810 and 1801 Platinum Tower Plot: JLT-PH1-12, Jumeirah L,
							Cluster I,
							140,
							DXB,
							Dubai"
9572474,Insights Psychology DMCC,Clinical Support (3 Specs or more),Jumeira Lakes Towers,"['Occupational therapy', 'Psychology', 'Speech Therapy']",,,,"301, 309 Dome Tower,             
							
							Dome Tower,
							Cluster N,
							140,
							,"
0002429,"Kings College Hospital London, Medical Centre Br Of Kch Health Care LLC",PolyClinic (3 specs or more),Dubai Marina and Jumeira Beach,"['Cardiology', 'Colon And Rectal Surgery', 'Dermatology', 'Diagnostic Radiology', 'Diet and Nutrition', 'Director', 'Endocrinology', 'Endodontics', 'Family Medicine', 'Gastroenterology', 'General Dental', 'General Surgery', 'Implantology', 'Internal Medicine', 'Laser Hair Removal', 'Neurology', 'Nursing', 'Obstetrics And Gynecology', 'Oral Surgery', 'Orthodontics', 'Orthopedic Surgery', 'Otolaryngology', 'Pediatric', 'Pediatric Dentistry', 'Periodontics', 'Physiotherapy And Rehabilitation', 'Plastic Surgery', 'Psychiatry', 'Psychology', 'Radiology', 'Radiology Allied Healthcare', 'Respiratory Medicine', 'Rheumatology', 'Urology', 'Vascular Surgery']",971-55-2577151,carol.rose@kch.ae,,"R116,             
							
							The Residences @Marina Gate 1,
							Al Marsa Street,
							139,
							DXB,
							Dubai"
0000040,Life Medical Center Dmcc,PolyClinic (3 specs or more),Jumeira Lakes Towers,"['Dental Allied Healthcare', 'Dermatology', 'General Dental', 'General Practice', 'Immunization', 'Laser Hair Removal', 'Nursing', 'Pediatric', 'Psychiatry']",971-50-7707139,lifemedicalcenter@gmail.com,,"1203,             
							
							FORTUNE EXECUTIVE TOWER,
							Cluster T,
							140,
							DXB,
							Dubai"
4667440,MEDICAL INNOVENTURES DMCC ,PolyClinic (3 specs or more),Jumeira Lakes Towers,"['Diet and Nutrition', 'Family Medicine', 'General Practice', 'Massage Therapy', 'Nursing', 'Pediatric', 'Physiotherapy And Rehabilitation', 'Psychology', 'Radiology', 'Radiology Allied Healthcare', 'Training', 'Undersea and Hyperbaric Oxygen Medicine']",+97144371000,info@aviv-clinics.ae,www.aviv-clinics.ae,"1,             
							
							Jumeirah Lakes Towers Cluster F,
							JLT Cluster F F4,
							140,
							,"
